,Academic Year,Mode of study,Sex,Country of HE provider,Classification of First Degree,Number,Percentage
0,2013/14,All,All,All,First,79410,20
1,2013/14,All,All,All,Lower second,95965,24
2,2013/14,All,All,All,Third/Pass,21905,6
4,2013/14,All,All,All,Upper second,198320,50
275,2014/15,All,All,All,First,81640,22
276,2014/15,All,All,All,Lower second,85250,23
277,2014/15,All,All,All,Third/Pass,20340,5
279,2014/15,All,All,All,Upper second,183680,50
550,2015/16,All,All,All,First,88890,24
551,2015/16,All,All,All,Lower second,81595,22
552,2015/16,All,All,All,Third/Pass,19280,5
554,2015/16,All,All,All,Upper second,186565,50
825,2016/17,All,All,All,First,100945,26
826,2016/17,All,All,All,Lower second,79515,20
827,2016/17,All,All,All,Third/Pass,19025,5
829,2016/17,All,All,All,Upper second,192395,49
1105,2017/18,All,All,All,First,110475,28
1106,2017/18,All,All,All,Lower second,76210,19
1107,2017/18,All,All,All,Third/Pass,17830,4
1109,2017/18,All,All,All,Upper second,192425,48
